OBJECTID,natcode,name,natLevName,countyId,countyCode,county,countyMn,regionId,regionCode,region,pop2015,Longitude,Latitude
"2,567",75472,Tîrgu Bujor,Oras,17,172,Galați,GL,2,822,Sud-Est,"7,485",27.9313316,45.8759346
"2,568",75221,Drăgănești,Comuna,17,172,Galați,GL,2,822,Sud-Est,"6,587",27.5075302,45.7952728
"2,569",75668,Băleni,Comuna,17,172,Galați,GL,2,822,Sud-Est,"2,473",27.8306770,45.7994728
"2,570",77601,Suhurlui,Comuna,17,172,Galați,GL,2,822,Sud-Est,"1,445",27.8206520,45.7384071
"2,571",123013,Icușești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,846",26.9764137,46.8030243
"2,572",121876,Bozieni,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"2,976",27.1613579,46.8413124
"2,573",123102,Ion Creangă,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"5,798",27.0106964,46.8614082
"2,574",124233,Secuieni,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"3,264",26.8179226,46.8624191
"2,575",123709,Poienari,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"1,643",27.1120853,46.8864326
"2,576",125150,Gâdinți,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"2,491",27.0310574,46.9250641
"2,577",120860,Roman,"Municipiu, altul decat resedinta de judet",27,270,Neamț,NT,1,813,Nord-Est,"71,204",26.9472218,46.9357224
"2,578",122613,Făurei,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"2,202",26.7224197,46.9183044
"2,579",125105,Ruginoasa,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"1,942",26.6925182,46.9952087
"2,580",124153,Sagna,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"5,329",27.0497589,46.9728508
"2,581",120888,Cordun,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"7,883",26.8700428,46.9775124
"2,582",124634,Tămășeni,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"9,908",26.9450474,47.0007248
"2,583",125169,Negrești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"1,890",26.3480206,47.0403481
"2,584",121466,Bîrgăuani,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"3,877",26.6403179,46.9814987
"2,585",125123,Văleni,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"1,533",26.7104816,47.0368652
"2,586",122668,Gherăești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"6,728",26.8092918,47.0318527
"2,587",121607,Bodești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,810",26.4385433,47.0446625
"2,588",124331,Stănița,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"2,212",27.1566334,47.0089798
"2,589",97811,Mircești,Comuna,22,225,Iași,IS,1,813,Nord-Est,"3,962",26.8569565,47.0658989
"2,590",121796,Botești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"5,210",26.7511272,47.0677032
"2,591",97777,Mădîrjac,Comuna,22,225,Iași,IS,1,813,Nord-Est,"1,688",27.2881584,47.0540123
"2,592",124750,Tupilați,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"2,203",26.6512566,47.0806465
"2,593",96110,Butea,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,351",26.9549179,47.0826530
"2,594",125114,Ghindăoani,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"2,080",26.3544083,47.1068153
"2,595",122187,Crăcăoani,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,461",26.2341805,47.0880432
"2,596",124803,Țibucani,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,165",26.5211067,47.1010056
"2,597",100362,Ciohorăni,Comuna,22,225,Iași,IS,1,813,Nord-Est,"2,012",26.6970711,47.1375999
"2,598",122908,Grumăzești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"5,502",26.3907776,47.1379356
"2,599",121108,Agapia,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,304",26.2604809,47.1605644
"2,600",123371,Păstrăveni,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,057",26.5816441,47.1702347
"2,601",95612,Alexandru I. Cuza,Comuna,22,225,Iași,IS,1,813,Nord-Est,"2,929",26.8650074,47.1390343
"2,602",123424,Petricani,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"6,091",26.4542770,47.1443100
"2,603",98051,Miroslovești,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,550",26.6498966,47.1514549
"2,604",99058,Sinești,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,659",27.2022057,47.0949097
"2,605",121055,Tîrgu Neamț,Oras,27,270,Neamț,NT,1,813,Nord-Est,"22,118",26.3759060,47.2039223
"2,606",124661,Timișești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,096",26.5158443,47.2267532
"2,607",95499,Ion Neculce,Comuna,22,225,Iași,IS,1,813,Nord-Est,"5,822",27.0107021,47.1683884
"2,608",125016,Vînători-Neamț,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"8,737",26.2777767,47.2226791
"2,609",100326,Hărmănești,Comuna,22,225,Iași,IS,1,813,Nord-Est,"2,470",26.8005905,47.2808723
"2,610",99539,Todirești,Comuna,22,225,Iași,IS,1,813,Nord-Est,"5,373",26.8465958,47.3346863
"2,611",97063,Focuri,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,128",27.1986752,47.3406906
"2,612",100086,Vînători,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,741",26.7648754,47.3383636
"2,613",96478,Cotnari,Comuna,22,225,Iași,IS,1,813,Nord-Est,"8,013",26.9252644,47.3407288
"2,614",100317,Fântânele,Comuna,22,225,Iași,IS,1,813,Nord-Est,"2,129",27.1858559,47.4142342
"2,615",99600,Trifești,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,012",27.5107384,47.4517708
"2,616",100344,Roșcani,Comuna,22,225,Iași,IS,1,813,Nord-Est,"1,560",27.4219818,47.4496880
"2,617",95943,Bivolari,Comuna,22,225,Iași,IS,1,813,Nord-Est,"4,356",27.4045773,47.5314636
"2,618",151022,Verești,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"7,369",26.4744167,47.6329956
"2,619",146370,Salcea,Oras,33,332,Suceava,SV,1,813,Nord-Est,"10,397",26.3580875,47.6457291
"2,620",148426,Dumbrăveni,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"9,523",26.4356003,47.6683083
"2,621",150221,Siminicea,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"3,025",26.3980236,47.7075157
"2,622",146799,Adâncata,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"4,364",26.2999935,47.7380142
"2,623",149290,Marginea,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"10,984",25.8339195,47.7987061
"2,624",151479,Horodnic de Sus,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"5,159",25.7894382,47.8386955
"2,625",146995,Bălcăuți,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"3,155",26.0647774,47.8996735
"2,626",146655,Siret,Oras,33,332,Suceava,SV,1,813,Nord-Est,"9,716",26.0659103,47.9516258
"2,627",74956,Tălpaș,Comuna,16,163,Dolj,DJ,4,840,Sud-Vest,"1,282",23.7538147,44.6859322
"2,628",149183,Izvoarele Sucevei,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"2,243",25.1990547,47.7639656
"2,629",178607,Vînători,Comuna,39,396,Vrancea,VN,2,822,Sud-Est,"6,454",27.2754593,45.7323914
"2,630",144599,Gura Rîului,Comuna,32,323,Sibiu,SB,7,877,Centru,"3,740",23.9805431,45.7213058
"2,631",143557,Șelimbăr,Comuna,32,323,Sibiu,SB,7,877,Centru,"8,393",24.2235451,45.7390938
"2,632",114809,Reghin,"Municipiu, altul decat resedinta de judet",26,261,Mureș,MS,7,877,Centru,"38,403",24.6883831,46.7714882
"2,633",119590,Solovăstru,Comuna,26,261,Mureș,MS,7,877,Centru,"2,899",24.7934513,46.7863731
"2,634",9930,Beliu,Comuna,2,29,Arad,AR,5,859,Vest,"3,049",21.9922352,46.5084572
"2,635",14584,Bogați,Comuna,3,38,Argeș,AG,3,831,Sud,"4,543",25.1540165,44.8750610
"2,636",16427,Dobrești,Comuna,3,38,Argeș,AG,3,831,Sud,"1,792",25.1304455,44.9573250
"2,637",67835,Ludești,Comuna,15,154,Dâmbovița,DB,3,831,Sud,"5,097",25.2221909,44.9218063
"2,638",152760,Dobrotești,Comuna,34,341,Teleorman,TR,3,831,Sud,"4,500",24.8992977,44.2840614
"2,639",126825,Dobrun,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"1,517",24.2217827,44.2529869
"2,640",148006,Dolhasca,Oras,33,332,Suceava,SV,1,813,Nord-Est,"11,432",26.6213322,47.4175720
"2,641",148097,Dolhești,Comuna,33,332,Suceava,SV,1,813,Nord-Est,"3,841",26.5195408,47.4396095
"2,642",154709,Toporu,Comuna,52,528,Giurgiu,GR,3,831,Sud,"1,969",25.6539173,43.9933891
"2,643",97189,Gorban,Comuna,22,225,Iași,IS,1,813,Nord-Est,"3,073",28.0753975,46.9127274
"2,644",112904,Dubova,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,952,22.2034740,44.6169472
"2,645",166413,Todirești,Comuna,37,378,Vaslui,VS,1,813,Nord-Est,"3,400",27.3848763,46.8505287
"2,646",112245,Eșelnița,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"2,893",22.2792606,44.7274971
"2,647",65105,Mereni,Comuna,14,145,Covasna,CV,7,877,Centru,"1,317",26.2519417,46.1206093
"2,648",22380,Dofteana,Comuna,4,47,Bacău,BC,1,813,Nord-Est,"11,311",26.4835644,46.2957573
"2,649",65154,Estelnic,Comuna,14,145,Covasna,CV,7,877,Centru,"1,160",26.2999401,46.2119713
"2,650",126905,Făgețelu,Comuna,28,289,Olt,OT,4,840,Sud-Vest,898,24.5399628,44.7840881
"2,651",19793,Vedea,Comuna,3,38,Argeș,AG,3,831,Sud,"3,686",24.6397209,44.7772446
"2,652",72276,Fărcaș,Comuna,16,163,Dolj,DJ,4,840,Sud-Vest,"2,086",23.7451286,44.6153526
"2,653",79932,Crușet,Comuna,18,181,Gorj,GJ,4,840,Sud-Vest,"3,274",23.6596127,44.6195526
"2,654",104788,Răsuceni,Comuna,52,528,Giurgiu,GR,3,831,Sud,"2,334",25.6979694,44.0695000
"2,655",31379,Șinteu,Comuna,5,56,Bihor,BH,6,868,Nord-Vest,"1,129",22.4972115,47.1376152
"2,656",27212,Aușeu,Comuna,5,56,Bihor,BH,6,868,Nord-Vest,"2,977",22.5117626,47.0610924
"2,657",32394,Bistrița,Municipiu resedinta de judet,6,65,Bistrița-Năsăud,BN,6,868,Nord-Vest,"92,812",24.5002670,47.1437340
"2,658",17049,Mălureni,Comuna,3,38,Argeș,AG,3,831,Sud,"4,692",24.7743740,45.0577278
"2,659",17619,Mușătești,Comuna,3,38,Argeș,AG,3,831,Sud,"3,735",24.7671490,45.1849136
"2,660",13935,Albota,Comuna,3,38,Argeș,AG,3,831,Sud,"3,903",24.8288803,44.7790718
"2,661",17496,Moșoaia,Comuna,3,38,Argeș,AG,3,831,Sud,"5,542",24.8031826,44.8273582
"2,662",15983,Cotmeana,Comuna,3,38,Argeș,AG,3,831,Sud,"1,930",24.6204090,44.9881592
"2,663",16506,Drăganu,Comuna,3,38,Argeș,AG,3,831,Sud,"1,926",24.6931190,44.9455948
"2,664",176212,Garoafa,Comuna,39,396,Vrancea,VN,2,822,Sud-Est,"4,805",27.2723560,45.8084755
"2,665",178046,Tâmboești,Comuna,39,396,Vrancea,VN,2,822,Sud-Est,"3,275",27.0472660,45.5172310
"2,666",44845,Râmnicu Sărat,"Municipiu, altul decat resedinta de judet",10,109,Buzău,BZ,2,822,Sud-Est,"41,206",27.0896149,45.4092407
"2,667",178947,Obrejița,Comuna,39,396,Vrancea,VN,2,822,Sud-Est,"1,604",27.0912628,45.4825287
"2,668",50399,Vîlcelele,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"1,495",27.3664627,45.3477592
"2,669",48842,Puiești,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"3,946",27.2315350,45.3910828
"2,670",177655,Slobozia Bradului,Comuna,39,396,Vrancea,VN,2,822,Sud-Est,"7,742",27.0397243,45.4844360
"2,671",48682,Podgoria,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"3,198",27.0195313,45.4522476
"2,672",135315,Starchiojd,Comuna,29,298,Prahova,PH,3,831,Sud,"3,869",26.1562805,45.3502083
"2,673",46180,Chiojdu,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"3,494",26.1858406,45.4213028
"2,674",48227,Pănătău,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"2,462",26.4040680,45.3057594
"2,675",45959,Cătina,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"2,528",26.2496700,45.3003120
"2,676",49484,Siriu,Comuna,10,109,Buzău,BZ,2,822,Sud-Est,"3,224",26.2341232,45.5316734
"2,677",63688,Sita Buzăului,Comuna,14,145,Covasna,CV,7,877,Centru,"4,866",26.1194954,45.6194687
"2,678",13392,Ștefănești,Oras,3,38,Argeș,AG,3,831,Sud,"15,017",24.9426270,44.8764877
"2,679",13365,Mărăcineni,Comuna,3,38,Argeș,AG,3,831,Sud,"5,202",24.8771057,44.9098206
"2,680",13169,Pitești,Municipiu resedinta de judet,3,38,Argeș,AG,3,831,Sud,"177,443",24.8609619,44.8559494
"2,681",105295,Stănești,Comuna,52,528,Giurgiu,GR,3,831,Sud,"2,650",25.8537712,43.9432220
"2,682",18475,Rociu,Comuna,3,38,Argeș,AG,3,831,Sud,"2,535",25.0185261,44.6615906
"2,683",14940,Buzoești,Comuna,3,38,Argeș,AG,3,831,Sud,"5,716",24.9130249,44.5937500
"2,684",18411,Recea,Comuna,3,38,Argeș,AG,3,831,Sud,"2,817",25.0390034,44.5514069
"2,685",17726,Negrași,Comuna,3,38,Argeș,AG,3,831,Sud,"2,104",25.1143951,44.6021233
"2,686",90805,Ribița,Comuna,20,207,Hunedoara,HD,5,859,Vest,"1,289",22.8005199,46.2108803
"2,687",87291,Brad,"Municipiu, altul decat resedinta de judet",20,207,Hunedoara,HD,5,859,Vest,"16,100",22.7957153,46.1274986
"2,688",91535,Toplița,Comuna,20,207,Hunedoara,HD,5,859,Vest,776,22.7556095,45.6645317
"2,689",87996,Baru,Comuna,20,207,Hunedoara,HD,5,859,Vest,"2,795",23.1634274,45.4448662
"2,690",88449,Boșorod,Comuna,20,207,Hunedoara,HD,5,859,Vest,"1,992",23.1269970,45.6352081
"2,691",88261,Beriu,Comuna,20,207,Hunedoara,HD,5,859,Vest,"3,382",23.2799568,45.7322006
"2,692",111818,Godeanu,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,612,22.6021976,44.8100128
"2,693",112334,Ilovița,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"1,331",22.4849777,44.7726173
"2,694",111220,Cireșu,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,500,22.5259991,44.8252563
"2,695",112370,Isverna,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"2,146",22.6451359,44.9740143
"2,696",110456,Balta,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"1,041",22.6074181,44.9154243
"2,697",115183,Apold,Comuna,26,261,Mureș,MS,7,877,Centru,"3,176",24.8535023,46.1378555
"2,698",120254,Vînători,Comuna,26,261,Mureș,MS,7,877,Centru,"4,290",25.0330181,46.2234917
"2,699",40704,Bunești,Comuna,8,83,Brașov,BV,7,877,Centru,"2,667",25.0615864,46.0958023
"2,700",119206,Saschiz,Comuna,26,261,Mureș,MS,7,877,Centru,"2,250",24.9827957,46.1751366
"2,701",152127,Bogdana,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,273",25.0840244,43.9254341
"2,702",153605,Plosca,Comuna,34,341,Teleorman,TR,3,831,Sud,"5,829",25.1345711,43.9931641
"2,703",152948,Furculești,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,426",25.1579704,43.8759766
"2,704",155154,Uda-Clocociov,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,603",24.7284088,43.8992691
"2,705",154790,Troianul,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,931",25.0151939,44.0077896
"2,706",154852,Vedea,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,942",25.0950375,44.0989647
"2,707",155127,Frăsinet,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,485",25.4119034,44.1864090
"2,708",153240,Măgura,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,749",25.4252853,44.0545349
"2,709",154521,Talpa,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,930",25.3134346,44.2855225
"2,710",153026,Gălăteni,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,754",25.3849735,44.2296944
"2,711",152582,Cosmești,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,614",25.3722210,44.3156967
"2,712",152528,Ciolănești,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,783",25.0869427,44.3283424
"2,713",154585,Tătărăștii de Jos,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,518",25.1788673,44.3563156
"2,714",153277,Măldăeni,Comuna,34,341,Teleorman,TR,3,831,Sud,"4,266",24.9056225,44.1127205
"2,715",152467,Călmățuiu de Sus,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,232",24.8266029,44.0566864
"2,716",153124,Lisa,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,300",25.1670952,43.7295799
"2,717",152350,Călinești,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,194",25.2181244,44.1097069
"2,718",153543,Peretu,Comuna,34,341,Teleorman,TR,3,831,Sud,"7,192",25.0849724,44.0415573
"2,719",153295,Mereni,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,891",25.6328716,44.2262192
"2,720",151932,Crevenicu,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,500",25.5631580,44.2331467
"2,721",153384,Moșteni,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,500",25.4957905,44.1924286
"2,722",152564,Conțești,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,274",25.5968761,43.8170815
"2,723",154497,Ștorobăneasa,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,189",25.5042801,43.8740158
"2,724",153339,Mîrzănești,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,726",25.5155296,43.9361115
"2,725",152993,Frumoasa,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,018",25.4398975,43.7787361
"2,726",151834,Poroschia,Comuna,34,341,Teleorman,TR,3,831,Sud,"4,561",25.2557983,43.9029427
"2,727",154914,Viișoara,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,722",25.2263660,43.7707405
"2,728",152797,Drăcșenei,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,794",24.9965420,44.2142410
"2,729",153972,Săceni,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,268",25.0651073,44.2364693
"2,730",154013,Scrioaștea,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,919",24.9653912,44.1711922
"2,731",154139,Seaca,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,411",25.0649357,43.7485161
"2,732",152868,Drăgănești de Vede,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,150",25.0454521,44.1398926
"2,733",113206,Pristol,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"1,463",22.7003708,44.2297249
"2,734",124938,Alexandru cel Bun,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"6,000",26.2724533,46.9184189
"2,735",123601,Pîngărați,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"5,488",26.1964054,46.9264221
"2,736",121242,Bălțătești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,275",26.3085327,47.1299019
"2,737",120726,Piatra-Neamț,Municipiu resedinta de judet,27,270,Neamț,NT,1,813,Nord-Est,"116,268",26.3638573,46.9220734
"2,738",122828,Gîrcina,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"4,930",26.2750988,47.0123138
"2,739",123914,Răucești,Comuna,27,270,Neamț,NT,1,813,Nord-Est,"8,578",26.4123287,47.2555313
"2,740",136964,Beltiug,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"3,463",22.8507557,47.5552673
"2,741",110571,Bîcleș,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"1,939",23.1421986,44.4673882
"2,742",111587,Dumbrava,Comuna,25,252,Mehedinți,MH,4,840,Sud-Vest,"1,411",23.1624222,44.5201492
"2,743",137032,Berveni,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"3,696",22.4837494,47.7721481
"2,744",138280,Odoreu,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"5,856",22.9964561,47.8018761
"2,745",137185,Botiz,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"3,848",22.9507160,47.8377113
"2,746",179882,Ciumești,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"1,357",22.3202629,47.6813011
"2,747",138208,Moftin,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"4,538",22.6271458,47.6742897
"2,748",137728,Foieni,Comuna,30,305,Satu Mare,SM,6,868,Nord-Vest,"1,948",22.3584442,47.7046242
